symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2024-04-05 05:00:00+00:00,67719.9,68622.705,65988.705,67797.15,0.623980606,88.0,67083.4131900652
BTC/USD,2024-04-06 05:00:00+00:00,67796.7,69773.335,67613.695,69344.5885,0.806720785,64.0,68256.0515358204
BTC/USD,2024-04-07 05:00:00+00:00,69396.85,70285.043,68913.308,69380.891,0.298534229,79.0,69510.4635040048
BTC/USD,2024-04-08 05:00:00+00:00,69457.3,72731.35,69457.3,71220.3425,3.427616107,203.0,71617.728061458
BTC/USD,2024-04-09 05:00:00+00:00,71224.79,71314.4065,68210.5195,69162.65,1.434014545,151.0,69197.2001379003
BTC/USD,2024-04-10 05:00:00+00:00,69126.36,71153.4385,67464.825,70566.2535,2.50803271,107.0,69357.0000106107
BTC/USD,2024-04-11 05:00:00+00:00,70575.841,71292.313,69575.068,71167.379,2.853763091,118.0,70517.7598376271
BTC/USD,2024-04-12 05:00:00+00:00,71175.565,71175.565,65706.25,67606.45,5.317996667,160.0,67560.146401436
BTC/USD,2024-04-13 05:00:00+00:00,67657.725,68683.836832389,61000.0,64038.065,5.883821133,211.0,63453.116668862
BTC/USD,2024-04-14 05:00:00+00:00,63970.58,65959.545,62652.485,64910.7955,3.92207437,139.0,64471.0968348632
BTC/USD,2024-04-15 05:00:00+00:00,64977.0815,66901.14,61752.786352357,62488.181,3.079269816,205.0,64140.5054632613
BTC/USD,2024-04-16 05:00:00+00:00,62490.787,64374.764,61634.99,64145.177,5.80550838,157.0,62725.7965609706
BTC/USD,2024-04-17 05:00:00+00:00,64091.8565,64503.4,59707.339,61632.7,4.636691835,235.0,60875.7927864909
BTC/USD,2024-04-18 05:00:00+00:00,61688.68,64166.8,59602.042,62441.1,5.444917881,188.0,62521.5592872026
BTC/USD,2024-04-19 05:00:00+00:00,62508.055,65488.5005,61807.3995,64221.5365,5.908054626,251.0,63703.5767800345
BTC/USD,2024-04-20 05:00:00+00:00,64148.552,65718.6105,63334.2,65143.1,0.661166763,111.0,64791.237262526
BTC/USD,2024-04-21 05:00:00+00:00,65140.339,66096.9,64258.7358038885,65807.05,1.371721386,146.0,65138.1199216044
BTC/USD,2024-04-22 05:00:00+00:00,65810.772,67276.815,65687.5235,66315.8,2.419705161,189.0,66367.0382974815
BTC/USD,2024-04-23 05:00:00+00:00,66309.65,67160.376,65841.548,66980.15,0.743640247,90.0,66584.6738427792
